title,categories,difficulty,hints,series,youtube
Apollo Justice ~ The Guitar's Serenade,Cutscene,Normal,,"Capcom, Ace Attorney",https://youtu.be/iQbbu_YAt2Y?si=hZS-LCQcvWVBkUMl
Apollo Justice ~ Trial,Locale,Normal,Time to face Klavier Gavin,"Capcom, Ace Attorney",https://youtu.be/w_lPgaV2bXw?si=h8jYOrS9DoRaEX_C
Apollo Justice ~ Troupe Gramarye,Character,Normal,"Behind the curtains is a tragedy, no troupe is without darkness","Capcom, Ace Attorney",https://youtu.be/HP3FMYYb12Q?si=l2r5MLpLJLOA5peE
Apollo Justice ~ Trucy's Theme - Child of Magic,Character,Easy,For my next magic trick... I declare you guilty!,"Capcom, Ace Attorney",https://youtu.be/nyeM6Kywxp0?si=AnRjr4N3XkYvt7Wx
Assassin's Creed 2 ~ Jesper Kyd - Home in Florence,Locale,Merciless,The home of the legendary assassin,"Ubisoft, Assassin's Creed",https://youtu.be/ztTjQB89v6U?si=4PySpOHm70OrqCsV
Astro Bot ~ Better Together,Credits,Easy,,"Sony, Astro Bot",https://www.youtube.com/watch?v=GQy3-Qx3qOI
Astro Bot ~ Cooling Springs (ASTRO BOT Remix),Locale,Normal,,"Sony, Astro Bot",https://youtu.be/PCh7oa2Hay4
Astro Bot ~ Crash Site,Locale,Normal,,"Sony, Astro Bot",https://www.youtube.com/watch?v=mlyKP-f84As
Astro Bot ~ I Am Astro Bot [ASTRO BOT Remix],Screen,Easy,Game of the Year 2024!,"Sony, Astro Bot",https://www.youtube.com/watch?v=sTrsOoECfac
Banjo Kazooie ~ Bubblegloop Swamp,"Locale, Nature",Tough,,"Rare, Banjo-Kazooie",https://youtu.be/5v-WHJLB3Ek?si=V3ZxUiQPRy8A_d7H
Banjo Kazooie ~ Clanker's Cavern,"Locale, Aquatic",Tough,,"Rare, Banjo-Kazooie",https://youtu.be/lw9_kFrLHjs?si=bGlMdAJ91xwkcIrz
Banjo Kazooie ~ Click Clock Wood (Spring),"Locale, Nature, Forest",Normal,,"Rare, Banjo-Kazooie",https://youtu.be/PmBY55olVWY?si=W5sg0CGrpeNlAe5M
Banjo Kazooie ~ Gobi's Valley,"Locale, Desert",Tough,,"Rare, Banjo-Kazooie",https://youtu.be/4qGVCijjJlk?si=fYbF81SRJxhUGVKi
