title,categories,difficulty,hints,series,youtube
Golden Sun ~ Tolbi,"Locale, Town & City",Tough,LET'S GO GAMBLING,"Nintendo, Golden Sun",https://youtu.be/J0LAHE1kokk?si=50ADEgF3lIACvzpa
Golden Sun ~ Vale,"Locale, Town & City",Tough,Isaac's hometown,"Nintendo, Golden Sun",https://youtu.be/adXJBtU-ONc?si=G77cg9AlbWUZAYS5
Golden Sun ~ Venus Lighthouse,"Locale, Dungeon",Tough,"The final dungeon in one game, the first location in the next","Nintendo, Golden Sun",https://youtu.be/1SJsDCMyU9c?si=yXwQL9g0g-zLG3OB
Golden Sun ~ Vs. Saturos,"Battle, Boss",Tough,The fight atop the first lighthouse,"Nintendo, Golden Sun",https://youtu.be/IdjWoed-dLQ?si=BRIfeEHjhd9qDuSu
Golden Sun ~ Wintery Imil,"Locale, Town & City, Snowy",Tough,Where Isaac meets his fourth party member,"Nintendo, Golden Sun",https://youtu.be/Um7edWYT76U?si=fAAommrEp9WQKixy
Golden Sun ~ World Map Theme,Locale,Tough,The golden adventure truly begins,"Nintendo, Golden Sun",https://youtu.be/0i3X5rbzkp8?si=9kWyMZXmgSRVZ5Rv
Golden Sun: Dark Dawn ~ Battle! (Formidable Enemy),"Battle, Boss",Tough,,"Nintendo, Golden Sun",https://www.youtube.com/watch?v=KNjMjqdTgFg
Golden Sun: The Lost Age ~ Air's Rock,"Dungeon, Locale",Tough,"An early, long dungeon where the winds blow","Nintendo, Golden Sun",https://youtu.be/TUixU-Vav8k?si=lUE1JpIlph6o7vk7
Golden Sun: The Lost Age ~ Battle! (Felix),Battle,Tough,The main battle theme of this second golden book,"Nintendo, Golden Sun",https://youtu.be/qTMyqOQBxxI?si=51B_3VRdKO5iLS8-
Golden Sun: The Lost Age ~ Jenna Battle,Battle,Tough,,"Nintendo, Golden Sun",https://www.youtube.com/watch?v=s_h8RYOqZTA
Grand Theft Auto V ~ Los Santos City Map,"Other, Screen",Lunatic,Taking a look at the city map,Grand Theft Auto,https://youtu.be/e0h09RpeMSY
Great Ace Attorney ~ 221B Baker Street,Locale,Normal,That famous house,"Capcom, Ace Attorney",https://www.youtube.com/watch?v=JtBW-xcUMvs
Great Ace Attorney ~ Barok van Zieks - The Reaper of the Bailey,"Character, Adversary",Normal,To your future career in the circus,"Capcom, Ace Attorney",https://www.youtube.com/watch?v=CQCVHRxVThA
Great Ace Attorney ~ Gina Lestrade - A Blast from the East End,Character,Normal,,"Capcom, Ace Attorney",https://www.youtube.com/watch?v=KnK_WRxudQU
Great Ace Attorney ~ Herlock Sholmes - Great Detective of Foggy London Town,Character,Normal,...Who is 'Sherlock Holmes'?,"Capcom, Ace Attorney",https://www.youtube.com/watch?v=smtc8Sucfm8
Great Ace Attorney ~ Kazuma Asogi - Samurai With A Mission,Character,Normal,,"Capcom, Ace Attorney",https://www.youtube.com/watch?v=eKIsiaCcoJU
Great Ace Attorney ~ Ryunosuke Naruhodo - Objection!,Event,Normal,,"Capcom, Ace Attorney",https://www.youtube.com/watch?v=e-QiKy-iEkQ
Great Ace Attorney ~ Susato Mikotoba - A New Bloom in the New World,Character,Normal,,"Capcom, Ace Attorney",https://www.youtube.com/watch?v=H0p9dnXRA5g
Great Ace Attorney ~ Tobias Gregson - The Great Detective's Great Foe,Character,Normal,,"Capcom, Ace Attorney",https://www.youtube.com/watch?v=l5Uk7pTkDVQ
Guilty Gear -Strive- ~ Extras,Character,Tough,,Guilty Gear,https://youtu.be/rhlZY4D8jlQ
Guilty Gear -Strive- ~ Find Your One Way,"Battle, Vocals",Lunatic,,Guilty Gear,https://youtu.be/eC15R4HeqZc?si=8YnJ-zfNjM1c5hOB
Guilty Gear -Strive- ~ Let Me Carve Your Way,"Battle, Vocals",Merciless,,Guilty Gear,https://youtu.be/cPtFKS0rRoc?si=thM_BkouT9AbGxBk
Guilty Gear -Strive- ~ Smell of the Game,"Screen, Vocals",Normal,,Guilty Gear,https://www.youtube.com/watch?v=2GcKrCnDBf4
Guilty Gear Xrd Sign ~ Magnolia Eclair,Character,Tough,King of France,Guilty Gear,https://youtu.be/-FdYPEaKHE0
Gunpoint ~ Main Theme (Melancholia),"Screen, Other",Merciless,"For a game with 'Gun' in the title, you don't really use a gun...","Indie, Other",https://youtu.be/6LZ12RGcU1U
Helldivers II ~ No Diver Left Behind,Other,Tough,Make the extraction in time!,Sony,https://youtu.be/SvY5lHLe5OA
Helldivers II ~ The Automaton Legion,Battle,Tough,Democracy vs. Auto,Sony,https://youtu.be/dU84A6TD_Oc
Helldivers II ~ The Illuminate Cult,Battle,Lunatic,Purple aliens invading,Sony,https://youtu.be/g5srz-8PE58
Helldivers II ~ The Terminid Horde,Battle,Tough,Take out the Bug trash,Sony,https://youtu.be/8F1RS0kOYMk
"Hey You, Pikachu! ~ Title Screen",Screen,Normal,,"Nintendo, Pokemon",https://www.youtube.com/watch?v=RObf_deGFPg&list=PLco9vQ1v_KE7sgGmByOCJ97XJ1jgQMi9_&index=1
Hi-Fi Rush ~ My Heart Feels No Pain (Mimosa Boss),"Vocals, Battle, Boss",Tough,,Hi-Fi Rush,https://www.youtube.com/watch?v=tvDbi2XkbZ4
History of Dedede ~ Kirby Fighters Deluxe,"Battle, Character",Normal,There's so many of them!,"Kirby, Nintendo",https://www.youtube.com/watch?v=Uj6tBqHUlEQ
Hollow Knight ~ City of Tears,"Locale, Town & City",Easy,,"Indie, Hollow Knight",https://www.youtube.com/watch?v=MJDn70jh1V0&pp=ygUbY2l0eSBvZiB0ZWFycyBob2xsb3cga25pZ2h0
Hollow Knight ~ Greenpath,"Locale, Nature",Normal,,"Indie, Hollow Knight",https://youtu.be/fWquuWkHVP4
Hollow Knight ~ Hornet,"Battle, Boss",Tough,,"Indie, Hollow Knight",https://youtu.be/7xkM8mWC4Kk?si=DY6jZjuncO7lxuiZ
Hollow Knight ~ Sealed Vessel,"Battle, Final Boss",Tough,No cost too great.,"Hollow Knight, Indie",https://www.youtube.com/watch?v=ze0Rk-m0w2A
Hyrule Warriors ~ Eclipse of the Sun,Locale,Tough,,"Nintendo, Koei Tecmo, The Legend of Zelda",https://youtu.be/hAPaDL1Alwo?si=l5k8TKihs5AqWTi6
Hyrule Warriors ~ Molgera,Locale,Normal,,"Nintendo, Koei Tecmo, The Legend of Zelda",https://youtu.be/jYxn8xFpcfw?si=j74SPNIWiatsRDrt
"Hyrule Warriors: Age of Calamity ~ Revali, Ace Archer & Aviator","Character, Locale",Easy,The Avian Archer,"Nintendo, Koei Tecmo, The Legend of Zelda",https://www.youtube.com/watch?v=eHYC3_TFSw8
Hyrule Warriors: Age of Calamity ~ The Champion Mipha,"Character, Locale",Easy,,"Nintendo, Koei Tecmo, The Legend of Zelda",https://youtu.be/MvqQ4MrqvCE
"In Stars and Time ~ Be Careful, Everyone! (Boss Theme)","Battle, Boss",Lunatic,,"Indie, In Stars and Time",https://youtu.be/p_GvIAWayrw
In Stars and Time ~ Do You Remember (King's Theme),"Battle, Final Boss",Merciless,Self-proclaimed King,"Indie, In Stars and Time",https://www.youtube.com/watch?v=KnFCJ4G0KBI
"In Stars and Time ~ Dormont (Welcome to My Home, Stranger)","Locale, Town & City",Merciless,Inside or outside?,"Indie, In Stars and Time",https://youtu.be/qYFKI0oEcFI
In Stars and Time ~ Game Over,Screen,Lunatic,You get used to this one,"Indie, In Stars and Time",https://www.youtube.com/watch?v=2J3CPfGhJ3w
"In Stars and Time ~ Get Ready, Everyone! (Battle Theme)",Battle,Lunatic,"Rock, paper, scissors","Indie, In Stars and Time",https://youtu.be/mBfNWEkN3Vg
In Stars and Time ~ In Stars and Time (Title Theme),"Screen, Other",Lunatic,"Time loops, time loops","Indie, In Stars and Time",https://youtu.be/MF5BCcF-r1g
In Stars and Time ~ It's Finally Over... (Glitched Version),Event,Merciless,Something's not right...,"Indie, In Stars and Time",https://www.youtube.com/watch?v=aLrNQU_4AkI
It Takes Two ~ Opposites Attract,Snowy,Merciless,You can't do this alone,EA,https://www.youtube.com/watch?v=DDJHxQYXXJg
Jet Set Radio ~ Birthday Cake,"Vocals, Other",Merciless,What would you make for someone's 30th birthday?,SEGA,https://youtu.be/dcp5gPf7mhI
Jet Set Radio Future ~ Teknopathetic,"Vocals, Locale",Tough,,SEGA,https://www.youtube.com/watch?v=btqdXGjtXn4
Justice for All ~ Berry Big Circus,Locale,Easy,,"Capcom, Ace Attorney",https://youtu.be/UjvOaYK7SgM?si=Qo8rWP8ZQAQIPxQO
Justice for All ~ Detention Center - Elegy of Surveillance Cameras,Locale,Normal,,"Capcom, Ace Attorney",https://youtu.be/z6kKqU-FkRc?si=e8iQonKqEtZ1dXgR
Justice for All ~ Great Revival - Fransizka von Karma,Character,Normal,,"Capcom, Ace Attorney",https://youtu.be/kkfX4Y-WkDs?si=9tRYDLQC3jWwo2vF
Justice for All ~ Great Revival - Miles Edgeworth,Character,Normal,,"Capcom, Ace Attorney",https://youtu.be/QI55FRv28Kw?si=ymzWS5NUBJqZ9L6T
Justice for All ~ Hotline of Fate,Cutscene,Tough,,"Capcom, Ace Attorney",https://youtu.be/aC_-WxlTMVQ?si=4mClWxkBWnIyXWEW
Justice for All ~ Kurain Village,"Locale, Town & City",Normal,,"Capcom, Ace Attorney",https://youtu.be/VXS56M5wLJE?si=apagU2spSrW1oE7v
Justice for All ~ Objection! 2002,"Character, Event",Normal,,"Capcom, Ace Attorney",https://youtu.be/36pwF_fh5b0?si=rWFycUSfjvPE8zbH
Justice for All ~ Pearl Fey,Character,Easy,,"Capcom, Ace Attorney",https://youtu.be/sAM-XMc8OAc?si=y_NQ68dp64D0LDcg
Justice for All ~ Pressing Pursuit,Event,Tough,,"Capcom, Ace Attorney",https://youtu.be/7Cl98sQPDhU?si=E3bygdk-zuHxZLAy
Justice for All ~ Psyche-Lock,Event,Normal,,"Capcom, Ace Attorney",https://youtu.be/9yA3qrxxues?si=2RcpWkbAKrlfC1-h
Justice for All ~ Shelly de Killer - A Murderous Gentleman's Pleasure,"Character, Adversary",Normal,,"Capcom, Ace Attorney",https://youtu.be/Gr4ELHLTV-A?si=Ar51mVTXeJj6g6JQ
Justice for All ~ Staff Credits,Credits,Tough,,"Capcom, Ace Attorney",https://youtu.be/4GeSY3Kkbgc?si=6k4ykgHyr0ExvP5B
Justice for All ~ Trial,Locale,Normal,,"Capcom, Ace Attorney",https://youtu.be/_HaMSS7-lwQ?si=tQTdgxqKiDOx84Nz
Katamari Damacy ~ Roll Me In,Vocals,Tough,,"Katamari, Namco",www.youtube.com/watch?v=WuT3fgk3vzQ
Katamari Damacy Rolling LIVE ~ Bun-San Body,Vocals,Merciless,,"Katamari, Namco",https://www.youtube.com/watch?v=UztOV3iBUl8
Katamari Damacy Rolling LIVE ~ Katamari on the Dream,Vocals,Normal,Coming at you live!,"Katamari, Namco",https://www.youtube.com/watch?v=eRFy1u39cik
Katamari Forever ~ Lonely Rolling No More,Vocals,Tough,,"Katamari, Namco",https://www.youtube.com/watch?v=_kkojRVx-qU
Kid Icarus: Uprising ~ Dark Pit's Theme,"Character, Adversary",Easy,,"Nintendo, Kid Icarus",https://www.youtube.com/watch?v=NATWKoia7us
Kid Icarus: Uprising ~ Destroyed Skyworld,Locale,Easy,,"Nintendo, Kid Icarus",https://www.youtube.com/watch?v=1k2QUkTvmgE
Kid Icarus: Uprising ~ Hades's Infernal Theme,"Character, Adversary",Easy,,"Nintendo, Kid Icarus",https://www.youtube.com/watch?v=4W3xFY8_HZI
Kid Icarus: Uprising ~ Lightning Battle,Locale,Normal,,"Nintendo, Kid Icarus",https://www.youtube.com/watch?v=fI0cmLIHLyc
Kid Icarus: Uprising ~ Lord of the Underworld,Locale,Tough,,"Nintendo, Kid Icarus",https://www.youtube.com/watch?v=_dJB6k-liI0
Kid Icarus: Uprising ~ Magnus's Theme,Character,Normal,,"Nintendo, Kid Icarus",https://www.youtube.com/watch?v=RatsP5-lr5M
Kid Icarus: Uprising ~ Mysterious Invaders,Locale,Normal,,"Nintendo, Kid Icarus",https://www.youtube.com/watch?v=ULAVlqIHSxw
Kid Icarus: Uprising ~ Solo Menu (Viridi),"Screen, Other",Tough,,"Nintendo, Kid Icarus",https://www.youtube.com/watch?v=gzZiB4y_RvE
Kid Icarus: Uprising ~ The Wish Seed - Magma Level Rising - Cave Route,Locale,Lunatic,,"Nintendo, Kid Icarus",https://www.youtube.com/watch?v=jBbkZ4MUVik
Kid Icarus: Uprising ~ The Wish Seed - To the Volcano Nearby,Locale,Lunatic,,"Nintendo, Kid Icarus",https://www.youtube.com/watch?v=iztCGZhCaDc
"Kid Icarus: Uprising ~ Viridi, Goddess of Nature","Locale, Character, Adversary",Normal,,"Nintendo, Kid Icarus",https://www.youtube.com/watch?v=KXXMnNRGW0A
Kid Icarus: Uprising ~ Wrath of the Reset Bomb,"Locale, Object",Tough,,"Nintendo, Kid Icarus",https://www.youtube.com/watch?v=uAvRGVN4LMI
Kingdom Hearts ~ Dearly Beloved,"Screen, Other",Easy,,"Square Enix, Kingdom Hearts",https://youtu.be/ixSrQI-J-80
Kingdom Hearts ~ Destiny Islands,"Locale, Nature, Town & City",Easy,,"Square Enix, Kingdom Hearts",https://youtu.be/OKlaotAgwHg
Kingdom Hearts ~ Hollow Bastion,Locale,Normal,,"Square Enix, Kingdom Hearts",https://youtu.be/niQWT4i7XkU
Kingdom Hearts ~ Kairi I,Character,Easy,,"Square Enix, Kingdom Hearts",https://youtu.be/6MIj_8dxWYQ
Kingdom Hearts ~ Simple And Clean,"Screen, Vocals",Easy,,"Square Enix, Kingdom Hearts",https://youtu.be/B1nDzB1P8GM?si=3NdOOl3wnz-WtCUO
Kingdom Hearts 3D: Dream Drop Distance ~ The Eye of Darkness,"Battle, Final Boss",Lunatic,,"Square Enix, Kingdom Hearts",https://www.youtube.com/watch?v=LsFC6h59rc8
Kingdom Hearts 3D: Dream Drop Distance ~ TWISTER -KINGDOM MIX-,"Character, Cutscene",Tough,,"Square Enix, Kingdom Hearts",https://www.youtube.com/watch?v=a2vfjHxlitY
Kingdom Hearts Final Mix ~ Vector to the Heavens,"Battle, Boss",Normal,,"Square Enix, Kingdom Hearts",https://www.youtube.com/watch?v=g3xFtfdQwoI
Kingdom Hearts II ~ Dearly Beloved,Screen,Easy,,"Square Enix, Kingdom Hearts",https://youtu.be/l2ztZc5kzGg?si=ez-2-Qx-HgZEXUbe
Kingdom Hearts II ~ He's a Pirate,"Cutscene, Character",Easy,,"Square Enix, Kingdom Hearts",https://youtu.be/5wa2z34PkO4?si=8XLh1QeOkXBu-yi3
Kingdom Hearts II ~ Olympus Coliseum,Locale,Normal,,"Square Enix, Kingdom Hearts",https://youtu.be/oS1OtTuJ98E?si=MZ_3ycvOiNmAOG_e
Kingdom Hearts II ~ Organization XIII,Cutscene,Normal,,"Square Enix, Kingdom Hearts",https://youtu.be/h_sNSYViink?si=ec6pBJBdu6EBaKx-
Kingdom Hearts II ~ Roxas,"Cutscene, Character",Normal,,"Square Enix, Kingdom Hearts",https://youtu.be/2bkSUm48Iy4?si=8KSTnHTD2p5YBI13
Kingdom Hearts II ~ Sanctuary,"Screen, Vocals",Easy,,"Square Enix, Kingdom Hearts",https://youtu.be/HTUq3Ik1GHM?si=LhqOPaY3mKHoTroX
Kingdom Hearts II ~ The 13th Struggle,"Battle, Boss, Character",Tough,"Dance, water, dance!","Square Enix, Kingdom Hearts",https://www.youtube.com/watch?v=dAAnOQxL5HI
Kingdom Hearts: Birth by Sleep ~ Ventus,Character,Normal,,"Square Enix, Kingdom Hearts",https://youtu.be/TB98jZ_HRKg?si=aEuls4gY2zurSIrn
Kirby & The Amazing Mirror ~ Candy Constellation (Area 9),"Locale, Space",Tough,,"Nintendo, Kirby",https://www.youtube.com/watch?v=wvzlrD3vjpk
Kirby 64: The Crystal Shards ~ Factory Inspection,Locale,Normal,A factory in the icy wasteland.,"Nintendo, Kirby",https://www.youtube.com/watch?v=f0BIqgKyrbY
Kirby 64: The Crystal Shards ~ Invincible,Jingles,Tough,You're unstoppable now!,"Nintendo, Kirby",https://www.youtube.com/watch?v=lT3NQfyRBZk
Kirby 64: The Crystal Shards ~ Miracle Matter,"Battle, Boss, Final Boss",Tough,"The shapeshifting, ability wielding nemesis.","Kirby, Nintendo",https://www.youtube.com/watch?v=0k75V9T36Ak
Kirby Air Ride ~ Checker Knights,Locale,Tough,Fancy a game of checkers?,"Nintendo, Kirby",https://www.youtube.com/watch?v=6x8Cb9-1TPk
Kirby Air Ride ~ Item Bounce,Event,Lunatic,They just won't stop jumping!,"Nintendo, Kirby",https://www.youtube.com/watch?v=NPbDqtx9IMA
Kirby Air Ride ~ Magma Flows,Fiery,Normal,,"Nintendo, Kirby",https://www.youtube.com/watch?v=7Ud16VdT5QI
Kirby Air Ride ~ Menu,Screen,Tough,Get ready to race!,"Nintendo, Kirby",https://www.youtube.com/watch?v=831OZLD_rJY
Kirby and the Forgotten Land ~ A Full Speed Farewell from the New World,"Battle, Final Boss",Tough,The power of friendship! And this huge truck I found!,"Nintendo, Kirby",https://www.youtube.com/watch?v=L3p8GhjLT3o
Kirby and the Forgotten Land ~ Enter the Fiery Forbidden Lands,"Locale, Fiery",Normal,,"Nintendo, Kirby",https://www.youtube.com/watch?v=jpA2VWYtolU
Kirby and the Forgotten Land ~ Faded Dream of a Psychomeddler,Locale,Tough,The remnants of a shattered soul's dreams.,"Nintendo, Kirby",https://www.youtube.com/watch?v=GOMqN_WyiBc
Kirby and the Forgotten Land ~ Metro on Ice,"Locale, Snowy",Tough,,"Nintendo, Kirby",https://www.youtube.com/watch?v=9AR5x67XCuU
Kirby and the Forgotten Land ~ Moonlight Canyon,"Locale, Nature",Tough,,"Nintendo, Kirby",https://youtu.be/CqigaFzqhys?si=uvPqjdc_zMDaLaw_
Kirby and the Forgotten Land ~ Morpho Knight,Battle,Tough,The butterfly reaper's grand return.,"Nintendo, Kirby",https://www.youtube.com/watch?v=LVMxRnWnSAc
Kirby and the Forgotten Land ~ Redgar Forbidden Lands,"Fiery, Locale",Normal,The outer reaches of the Forbidden Island.,"Nintendo, Kirby",https://www.youtube.com/watch?v=61ZJQy7VtoI
Kirby and the Forgotten Land ~ Scattered Souls across Isolated Isles,Locale,Tough,,"Nintendo, Kirby",https://www.youtube.com/watch?v=tv8MHvgwvhc
Kirby and the Forgotten Land ~ Sword of the Surviving Guardian,"Battle, Character",Tough,,"Nintendo, Kirby",https://www.youtube.com/watch?v=SiGLKz0aGcQ
Kirby and the Forgotten Land ~ The Dream Discoveries Tour,Locale,Tough,"Welcome, visitors!","Nintendo, Kirby",https://www.youtube.com/watch?v=8hekKL2-z-U
Kirby and the Forgotten Land ~ Tilt and Roll Kirby Extra Hard,Other,Tough,,"Nintendo, Kirby",https://www.youtube.com/watch?v=kXiygHbKdfY
Kirby and the Forgotten Land ~ Winter Horns,"Locale, Snowy",Easy,,"Nintendo, Kirby",https://www.youtube.com/watch?v=BC303UNRJLc
Kirby and the Rainbow Curse ~ Decisive Battle (vs. Claycia),"Battle, Final Boss",Merciless,,"Nintendo, Kirby",https://www.youtube.com/watch?v=w2UIe6TNc1Q
Kirby and the Rainbow Curse ~ Heavy Lobster (Remix),"Battle, Boss",Lunatic,The ultimate weapon... is a crustacean?,"Nintendo, Kirby",https://www.youtube.com/watch?v=wyc6FV3pBDQ
Kirby and the Rainbow Curse ~ The Final Battle (vs. Dark Crafter),"Battle, Final Boss",Tough,Why does he have normal sunglasses if he only has one eye?,"Nintendo, Kirby",https://www.youtube.com/watch?v=Gjnm5o2kTjc
Kirby Battle Royale ~ Dededestroyer Z,"Battle, Character",Lunatic,The desperate king's last stand.,"Nintendo, Kirby",https://www.youtube.com/watch?v=59EscRSj9rw
Kirby Battle Royale ~ Main Menu,Screen,Tough,,"Nintendo, Kirby",https://www.youtube.com/watch?v=kJYWZbtMqwQ
Kirby Canvas Curse ~ Paint Panic,"Battle, Boss",Normal,,"Nintendo, Kirby",https://www.youtube.com/watch?v=SpkMWSrb-_4
Kirby Canvas Curse ~ Vs. Drawcia Sorceress,"Battle, Final Boss",Tough,A duel with the painting witch.,"Nintendo, Kirby",https://www.youtube.com/watch?v=QHNj0AX5efI
Kirby Canvas Curse ~ Vs. Drawcia Soul,"Battle, Final Boss",Lunatic,The desperate screams of a corrupted witch.,"Nintendo, Kirby",https://www.youtube.com/watch?v=_GSxPpJr9pc
Kirby Dream Collection ~ Interdimensional Traveler,Battle,Tough,,"Nintendo, Kirby",https://www.youtube.com/watch?v=ob5k78q8l5U
Kirby Dream Land 3 ~ Iceberg,"Locale, Snowy",Tough,,"Nintendo, Kirby",https://youtu.be/IV_7X_znB9E?si=uiC_VfnDmbuT0qhM
Kirby Dreamland 2 ~ Kirby Dance (7),Jingles,Merciless,,"Nintendo, Kirby",https://youtu.be/Or5Dv4rRqX0?si=SKjo3o7tE9FLcV6P
Kirby Fighters 2 ~ Dedede's Arena,Boss,Tough,Yet another duel with the king!,"Nintendo, Kirby",https://www.youtube.com/watch?v=3nXLAE2KzvM
Kirby Mass Attack ~ Terrifying Fiend (vs Necrodeus),"Battle, Final Boss",Lunatic,,"Nintendo, Kirby",https://www.youtube.com/watch?v=U88PqHRiWr4
Kirby Planet Robobot ~ Access Ark,Locale,Lunatic,The robot invaders' base of operations.,"Nintendo, Kirby",https://www.youtube.com/watch?v=8ARRbmTQZWY
Kirby Planet Robobot ~ Core Kabula Surprise!,Battle,Tough,Reliving bygone days of sweet potatoes.,"Nintendo, Kirby",https://www.youtube.com/watch?v=894EsXEUw_E
Kirby Planet Robobot ~ Crazy Rolling in Money,Battle,Tough,,"Nintendo, Kirby",https://www.youtube.com/watch?v=sl3fSUqcYpo
Kirby Planet Robobot ~ Haltmann Works Co. HQ,Locale,Normal,An air of loss permeates the office.,"Nintendo, Kirby",https://www.youtube.com/watch?v=PWCSNN0rBbA
Kirby Planet Robobot ~ Haltmann Works Co. Theme Song,Character,Normal,,"Nintendo, Kirby",https://www.youtube.com/watch?v=r38I-K-d9wQ
Kirby Planet Robobot ~ L86,Locale,Lunatic,,"Nintendo, Kirby",https://www.youtube.com/watch?v=2y4T9138AhQ
Kirby Planet Robobot ~ Loud Locomotive,"Locale, Other",Tough,Aboard the musical city's train.,"Nintendo, Kirby",https://www.youtube.com/watch?v=K9QkuB9CyRU
Kirby Planet Robobot ~ Neon Laboratory,Town & City,Tough,The big city's mechanical tower.,"Nintendo, Kirby",https://www.youtube.com/watch?v=uJsBS9i-yns
Kirby Planet Robobot ~ Pink Ball Revolution,"Battle, Final Boss",Normal,The drill that will pierce the heavens!,"Nintendo, Kirby",https://www.youtube.com/watch?v=GjGp8mK5G6o
Kirby Planet Robobot ~ Sky-High and Smitten (Rhythm Route),"Locale, Town & City",Tough,,"Nintendo, Kirby",https://www.youtube.com/watch?v=wWHy2L7h1y8
Kirby Planet Robobot ~ Studying the Power Plant,"Desert, Locale",Tough,A factory in the distant desert.,"Nintendo, Kirby",https://www.youtube.com/watch?v=62FMYeOKthg
Kirby Planet Robobot ~ VS. The Wicked Company,Battle,Normal,Familiar foes with a metal twist!,"Nintendo, Kirby",https://www.youtube.com/watch?v=V69tJbJTRcI
Kirby Planet Robobot ~ Yearning for Yellow (Vroom!),"Locale, Town & City",Tough,Don't get hit by a car!,"Nintendo, Kirby",https://www.youtube.com/watch?v=1Q7FjZj3x68
Kirby Squeak Squad ~ Final Battle (Vs. Dark Nebula),"Battle, Final Boss",Tough,"or as it's called in Japan, Dark Zero.","Nintendo, Kirby",https://www.youtube.com/watch?v=5myeaTTfP0I
Kirby Squeak Squad ~ Here Come the Squeaks!,"Character, Battle",Normal,,"Nintendo, Kirby",https://www.youtube.com/watch?v=-2SAkVbk7H8
Kirby Star Allies ~ A Battle of Friends and Bonds,Battle,Tough,,"Nintendo, Kirby",https://www.youtube.com/watch?v=UyJLmNaCVm4
Kirby Star Allies ~ A Deus Ex Machina from Childhood (vs. Morpho Knight),"Battle, Final Boss",Lunatic,Lingering memory of the robot invasion.,"Nintendo, Kirby",https://www.youtube.com/watch?v=LSfn-OsYX4k
Kirby Star Allies ~ Battle of Nightmares (vs. Morpho Knight),"Battle, Final Boss",Lunatic,"Did you play as Dedede, Meta Knight or Bandana Waddle Dee?","Nintendo, Kirby",https://www.youtube.com/watch?v=Q2mqy5cV870
Kirby Star Allies ~ Butterfly of Judgment: Morpho Knight,"Battle, Character",Tough,,"Nintendo, Kirby",https://www.youtube.com/watch?v=FITGtGqy7fU
Kirby Star Allies ~ Dark & Cloudy (vs. Morpho Knight),"Battle, Final Boss",Tough,A matter most dark has been awakened!,"Nintendo, Kirby",https://www.youtube.com/watch?v=x90vErSGeo0
Kirby Star Allies ~ Dark Matter in the Hyper Zone (vs. Morpho Knight),"Battle, Final Boss",Lunatic,Memories of facing the bloody eye.,"Nintendo, Kirby",https://www.youtube.com/watch?v=hyOwl5M7lYk
Kirby Star Allies ~ Dark Mirage (vs. Morpho Knight),"Battle, Final Boss",Lunatic,It's knight versus knight!,"Nintendo, Kirby",https://www.youtube.com/watch?v=LAI7uNDkhZ4
Kirby Star Allies ~ Farewell to Kirby: He of the Future-Traveling Stars,Character,Tough,Onto new adventures!,"Nintendo, Kirby",https://www.youtube.com/watch?v=6ufDPHri_AQ
Kirby Star Allies ~ Friendly Field,"Locale, Nature",Normal,,"Nintendo, Kirby",https://www.youtube.com/watch?v=ViVseGmUpt8
Kirby Star Allies ~ La follia d'amore,"Battle, Final Boss",Tough,"The unmasked, raving cult leader.","Nintendo, Kirby",https://www.youtube.com/watch?v=lniiapX-xKA
Kirby Star Allies ~ Let's Build a Log Cabin!,"Forest, Nature",Merciless,"Chop, chop, chop!","Nintendo, Kirby",https://www.youtube.com/watch?v=dSLaw8UjuP8
Kirby Star Allies ~ Macho of Dedede,Battle,Normal,He's been working out... or something to that effect.,"Nintendo, Kirby",https://www.youtube.com/watch?v=cB0AeRHdzZs
Kirby Star Allies ~ Oracles of the Threefold Glint,"Battle, Character",Tough,"They're too powerful, the Switch can't take it!","Nintendo, Kirby",https://www.youtube.com/watch?v=CsY_X4Roxz8
Kirby Star Allies ~ Phantom of the Moon Soul (vs. Morpho Knight),"Battle, Final Boss",Merciless,Echoes of a lost love.,"Nintendo, Kirby",https://www.youtube.com/watch?v=7ivRk0lWOD0
Kirby Star Allies ~ Planet Frostak,"Locale, Snowy",Tough,,"Nintendo, Kirby",https://www.youtube.com/watch?v=5IDgoF8Wixg
Kirby Star Allies ~ Puppet Offering,"Battle, Final Boss",Lunatic,A dream dearly clung to across the aeons.,"Nintendo, Kirby",https://www.youtube.com/watch?v=mNXQRy97NL0
Kirby Star Allies ~ Sacred Square,Locale,Tough,On our way to fight the knight.,"Nintendo, Kirby",https://www.youtube.com/watch?v=zMVMZO_XS7o
Kirby Star Allies ~ Suite: The Star-Conquering Traveler,"Battle, Final Boss",Tough,The many faces of a newborn god.,"Nintendo, Kirby",https://www.youtube.com/watch?v=y5l3Zz58264
Kirby Star Allies ~ Supreme Ruler's Coronation ~OVERLORD~ (vs. Morpho Knight),"Battle, Final Boss",Lunatic,The crowned deceiver against the butterfly warrior.,"Nintendo, Kirby",https://www.youtube.com/watch?v=Miwzphxvqck
Kirby Star Allies ~ The Girls Who Fought the Darkness (vs. Morpho Knight),"Battle, Final Boss",Lunatic,Memories of facing the resurrected bloody eye.,"Nintendo, Kirby",https://www.youtube.com/watch?v=VfPJ2JKZhzw
Kirby Star Allies ~ The Star Allies Have Your Back!,"Battle, Final Boss",Tough,"The power of friendship! ...literally, by throwing your friends at God.","Nintendo, Kirby",https://www.youtube.com/watch?v=FYeDh07AtBo
